Date Type,Date,Program,Total Doses Administered Daily,Daily Count People Receiving Dose 1,Daily Count People Receiving Dose 2,Total Doses Administered Cumulative,People Receiving 1 or More Doses Cumulative,People Receiving 2 Doses Cumulative,7-Day Avg Daily Count Dose 1,7-Day Avg Total Doses Daily,7-Day Avg Daily Count Dose 2
Admin,13-12-2020,US,10997,9707,1173,10997,9707,1173,9707,10997,1173
Admin,13-12-2020,LTC,228,228,0,228,228,0,228,228,0
Admin,14-12-2020,US,3574,3455,4,14571,13162,1177,6581,7286,589
Admin,14-12-2020,LTC,0,0,0,228,228,0,114,114,0
Admin,15-12-2020,US,48720,45305,21,63291,58467,1198,19489,21097,399
Admin,15-12-2020,LTC,0,0,0,228,228,0,76,76,0
Admin,16-12-2020,US,157019,150198,183,220310,208665,1381,52166,55078,345
Admin,16-12-2020,LTC,0,0,0,228,228,0,57,57,0
Admin,17-12-2020,US,268692,257929,468,489002,466594,1849,93319,97800,370
Admin,17-12-2020,LTC,5,5,0,233,233,0,47,47,0
Admin,18-12-2020,US,407627,396519,502,896629,863113,2351,143852,149438,392
Admin,18-12-2020,LTC,1517,1318,0,1750,1551,0,259,292,0
Admin,19-12-2020,US,177886,173388,669,1074515,1036501,3020,148072,153502,431
Admin,19-12-2020,LTC,323,323,0,2073,1874,0,268,296,0
Admin,20-12-2020,US,101442,99346,434,1175957,1135847,3454,160877,166423,326
Admin,20-12-2020,LTC,211,211,0,2284,2085,0,265,294,0
Admin,21-12-2020,US,372107,364013,680,1548064,1499860,4134,212385,219070,422
Admin,21-12-2020,LTC,14146,13983,0,16430,16068,0,2263,2315,0
Admin,22-12-2020,US,438472,429536,1810,1986536,1929396,5944,267276,274749,678
Admin,22-12-2020,LTC,16770,16548,9,33200,32616,9,4627,4710,1
Admin,23-12-2020,US,554521,542691,1529,2541057,2472087,7473,323346,331535,870
Admin,23-12-2020,LTC,22707,20138,13,55907,52754,22,7504,7954,3
Admin,24-12-2020,US,190009,184507,853,2731066,2656594,8326,312857,320295,925
Admin,24-12-2020,LTC,2042,2026,16,57949,54780,38,7792,8245,5
Admin,25-12-2020,US,11858,11775,30,2742924,2668369,8356,257894,263756,858
Admin,25-12-2020,LTC,115,115,0,58064,54895,38,7621,8045,5
Admin,26-12-2020,US,135953,133547,283,2878877,2801916,8639,252202,257766,803
Admin,26-12-2020,LTC,9312,9188,13,67376,64083,51,8887,9329,7
Admin,27-12-2020,US,91051,89233,265,2969928,2891149,8904,250757,256282,779
Admin,27-12-2020,LTC,8922,8798,8,76298,72881,59,10114,10573,8
Admin,28-12-2020,US,563945,550296,2034,3533873,3441445,10938,277369,283687,972
Admin,28-12-2020,LTC,59091,58497,20,135389,131378,79,16473,16994,11
Admin,29-12-2020,US,691818,671482,2533,4225691,4112927,13471,311933,319879,1075
Admin,29-12-2020,LTC,79119,78006,73,214508,209384,152,25253,25901,20
Admin,30-12-2020,US,809162,787038,4749,5034853,4899965,18220,346840,356257,1535
Admin,30-12-2020,LTC,77135,76054,247,291643,285438,399,33241,33677,54
Admin,31-12-2020,US,406082,395212,1462,5440935,5295177,19682,376940,387124,1622
Admin,31-12-2020,LTC,16131,16054,70,307774,301492,469,35245,35689,62
Admin,01-01-2021,US,38431,37084,703,5479366,5332261,20385,380556,390920,1718
Admin,01-01-2021,LTC,1591,1587,4,309365,303079,473,35455,35900,62
Admin,02-01-2021,US,242927,236583,1780,5722293,5568844,22165,395275,406202,1932
Admin,02-01-2021,LTC,46137,45483,38,355502,348562,511,40640,41161,66
Admin,03-01-2021,US,123924,118309,1854,5846217,5687153,24019,399429,410898,2159
Admin,03-01-2021,LTC,32376,31694,57,387878,380256,568,43911,44511,73
Admin,04-01-2021,US,613009,560088,40703,6459226,6247241,64722,400828,417908,7683
Admin,04-01-2021,LTC,85433,84559,58,473311,464815,626,47634,48275,78
Admin,05-01-2021,US,771075,678894,79670,7230301,6926135,144392,401887,429230,18703
Admin,05-01-2021,LTC,96397,95811,103,569708,560626,729,50177,50743,82
Admin,06-01-2021,US,950845,774510,160109,8181146,7700645,304501,400097,449470,40897
Admin,06-01-2021,LTC,94607,93729,173,664315,654355,902,52702,53239,72
Admin,07-01-2021,US,1090473,812507,260306,9271619,8513152,564807,459711,547241,77875
Admin,07-01-2021,LTC,122760,121595,337,787075,775950,1239,67780,68472,110
Admin,08-01-2021,US,1151922,792612,340284,10423541,9305764,905091,567643,706311,126387
Admin,08-01-2021,LTC,113601,111526,1247,900676,887476,2486,83485,84473,288
Admin,09-01-2021,US,472757,346963,120679,10896298,9652727,1025770,583412,739144,143372
Admin,09-01-2021,LTC,50417,49525,336,951093,937001,2822,84063,85084,330
Admin,10-01-2021,US,228977,161611,65250,11125275,9814338,1091020,589598,754151,152429
Admin,10-01-2021,LTC,35468,34983,283,986561,971984,3105,84533,85526,362
Admin,11-01-2021,US,995798,676327,303481,12121073,10490665,1394501,606203,808835,189968
Admin,11-01-2021,LTC,143067,130836,11353,1129628,1102820,14458,91144,93760,1976
Admin,12-01-2021,US,1165487,852760,295273,13286560,11343425,1689774,631041,865180,220769
Admin,12-01-2021,LTC,156176,141877,13390,1285804,1244697,27848,97724,102299,3874
Admin,13-01-2021,US,1238244,969822,252777,14524804,12313247,1942551,658943,906237,234007
Admin,13-01-2021,LTC,159552,142961,15749,1445356,1387658,43597,104758,111577,6099
Admin,14-01-2021,US,1230424,1094945,122439,15755228,13408192,2064990,699291,926230,214312
Admin,14-01-2021,LTC,141046,137451,2983,1586402,1525109,46580,107023,114190,6477
Admin,15-01-2021,US,1168014,1052090,105594,16923242,14460282,2170584,736360,928529,180785
Admin,15-01-2021,LTC,112591,110111,1461,1698993,1635220,48041,106821,114045,6508
Admin,16-01-2021,US,603041,537086,61972,17526283,14997368,2232556,763520,947141,172398
Admin,16-01-2021,LTC,64127,56466,7011,1763120,1691686,55052,107812,116004,7461
Admin,17-01-2021,US,278009,241062,35540,17804292,15238430,2268096,774870,954145,168154
Admin,17-01-2021,LTC,48917,43056,5630,1812037,1734742,60682,108965,117925,8225
Admin,18-01-2021,US,797986,591169,202189,18602278,15829599,2470285,762705,925886,153683
Admin,18-01-2021,LTC,169944,129228,40156,1981981,1863970,100838,108736,121765,12340
Admin,19-01-2021,US,1249614,916898,319058,19851892,16746497,2789343,771867,937905,157081
Admin,19-01-2021,LTC,180003,131977,47347,2161984,1995947,148185,107321,125169,17191
Admin,20-01-2021,US,1507655,1110946,382470,21359547,17857443,3171813,792028,976392,175609
Admin,20-01-2021,LTC,190455,146611,43151,2352439,2142558,191336,107843,129583,21106
Admin,21-01-2021,US,1517321,1262134,239163,22876868,19119577,3410976,815912,1017377,192284
Admin,21-01-2021,LTC,143798,132277,10952,2496237,2274835,202288,107104,129976,22244
Admin,22-01-2021,US,1511972,1317295,180822,24388840,20436872,3591798,853799,1066514,203031
Admin,22-01-2021,LTC,126409,121497,4457,2622646,2396332,206745,108730,131950,22672
Admin,23-01-2021,US,842984,704978,129069,25231824,21141850,3720867,877783,1100792,212616
Admin,23-01-2021,LTC,96264,68030,27780,2718910,2464362,234525,110382,136541,25639
Admin,24-01-2021,US,358836,282476,73367,25590660,21424326,3794234,883699,1112338,218020
Admin,24-01-2021,LTC,62855,43365,19230,2781765,2507727,253755,110426,138533,27582
Admin,25-01-2021,US,1251315,807574,431455,26841975,22231900,4225689,914614,1177100,250772
Admin,25-01-2021,LTC,184169,126060,57084,2965934,2633787,310839,109974,140565,30000
Admin,26-01-2021,US,1542813,1011859,514572,28384788,23243759,4740261,928180,1218985,278703
Admin,26-01-2021,LTC,204442,133884,69880,3170376,2767671,380719,110246,144056,33219
Admin,27-01-2021,US,1788134,1188104,580032,30172922,24431863,5320293,939203,1259054,306926
Admin,27-01-2021,LTC,211298,140323,70339,3381674,2907994,451058,109348,147034,37103
Admin,28-01-2021,US,1801318,1295417,491929,31974240,25727280,5812222,943958,1299625,343035
Admin,28-01-2021,LTC,190217,118465,71079,3571891,3026459,522137,107375,153665,45693
Admin,29-01-2021,US,1751334,1291873,435868,33725574,27019153,6248090,940326,1333819,379470
Admin,29-01-2021,LTC,177177,113997,62712,3749068,3140456,584849,106303,160917,54015
Admin,30-01-2021,US,937780,719137,210281,34663354,27738290,6458371,942349,1347361,391072
Admin,30-01-2021,LTC,95928,60891,34683,3844996,3201347,619532,105284,160869,55001
Admin,31-01-2021,US,412560,306202,103598,35075914,28044492,6561969,945738,1355036,395391
Admin,31-01-2021,LTC,67028,42557,24195,3912024,3243904,643727,105168,161466,55710
Admin,01-02-2021,US,1183796,683531,488619,36259710,28728023,7050588,928018,1345391,403557
Admin,01-02-2021,LTC,173491,88321,84573,4085515,3332225,728300,99777,159940,59637
Admin,02-02-2021,US,1528861,896988,617701,37788571,29625011,7668289,911607,1343398,418290
Admin,02-02-2021,LTC,187694,96356,90086,4273209,3428581,818386,94416,157548,62524
Admin,03-02-2021,US,1943999,1185269,742303,39732570,30810280,8410592,911202,1365664,441471
Admin,03-02-2021,LTC,197876,100828,96217,4471085,3529409,914603,88774,155630,66221
Admin,04-02-2021,US,2118156,1300637,803751,41850726,32110917,9214343,911948,1410927,486017
Admin,04-02-2021,LTC,202504,99374,102535,4673589,3628783,1017138,86046,157385,70714
Admin,05-02-2021,US,2149462,1276407,860068,44000188,33387324,10074411,909739,1467802,546617
Admin,05-02-2021,LTC,206513,110051,96046,4880102,3738834,1113184,85483,161576,75476
Admin,06-02-2021,US,1178264,791439,380399,45178452,34178763,10454810,920068,1502157,570920
Admin,06-02-2021,LTC,109225,60226,48730,4989327,3799060,1161914,85388,163476,77483
Admin,07-02-2021,US,401087,256292,139765,45579539,34435055,10594575,912938,1500518,576087
Admin,07-02-2021,LTC,64600,30029,34432,5053927,3829089,1196346,83598,163129,78946
Admin,08-02-2021,US,1403101,775586,618292,46982640,35210641,11212867,926088,1531847,594611
Admin,08-02-2021,LTC,160191,73280,86339,5214118,3902369,1282685,81449,161229,79198
Admin,09-02-2021,US,1759317,959381,790263,48741957,36170022,12003130,935002,1564769,619263
Admin,09-02-2021,LTC,167650,74408,92495,5381768,3976777,1375180,78314,158366,79542
Admin,10-02-2021,US,2071351,1138478,923598,50813308,37308500,12926728,928317,1582963,645162
Admin,10-02-2021,LTC,160271,60853,98622,5542039,4037630,1473802,72603,152993,79886
Admin,11-02-2021,US,2155818,1174576,970935,52969126,38483076,13897663,910308,1588343,669046
Admin,11-02-2021,LTC,156854,61863,94498,5698893,4099493,1568300,67244,146472,78737
Admin,12-02-2021,US,2312125,1265706,1033520,55281251,39748782,14931183,908780,1611580,693825
Admin,12-02-2021,LTC,168715,83891,84496,5867608,4183384,1652796,63507,141072,77087
Admin,13-02-2021,US,1328204,795666,524281,56609455,40544448,15455464,909384,1633000,714379
Admin,13-02-2021,LTC,83765,42071,41267,5951373,4225455,1694063,60914,137435,76021
Admin,14-02-2021,US,527547,318441,207652,57137002,40862889,15663116,918262,1651066,724077
Admin,14-02-2021,LTC,52078,24980,26922,6003451,4250435,1720985,60192,135646,74948
Admin,15-02-2021,US,1039223,562245,468620,58176225,41425134,16131736,887785,1599084,702696
Admin,15-02-2021,LTC,103276,38013,64742,6106727,4288448,1785727,55154,127516,71863
Admin,16-02-2021,US,1408648,719278,681693,59584873,42144412,16813429,853484,1548988,687186
Admin,16-02-2021,LTC,110025,41707,67867,6216752,4330155,1853594,50483,119283,68345
Admin,17-02-2021,US,1762874,859822,895676,61347747,43004234,17709105,813676,1504920,683197
Admin,17-02-2021,LTC,114327,40474,73382,6331079,4370629,1926976,47571,112720,64739
Admin,18-02-2021,US,1635573,759157,868779,62983320,43763391,18577884,754331,1430599,668603
Admin,18-02-2021,LTC,107612,36224,70977,6438691,4406853,1997953,43909,105685,61379
Admin,19-02-2021,US,1712498,742957,962688,64695818,44506348,19540572,679652,1344938,658484
Admin,19-02-2021,LTC,108997,36965,71631,6547688,4443818,2069584,37205,97154,59541
Admin,20-02-2021,US,1149805,539138,607154,65845623,45045486,20147726,643005,1319453,670323
Admin,20-02-2021,LTC,58623,18956,39485,6606311,4462774,2109069,33903,93563,59287
Admin,21-02-2021,US,496640,218461,276724,66342263,45263947,20424450,628723,1315037,680191
Admin,21-02-2021,LTC,40431,12284,28006,6646742,4475058,2137075,32089,91899,59441
Admin,22-02-2021,US,1246043,549104,692433,67588306,45813051,21116883,626845,1344583,712164
Admin,22-02-2021,LTC,91535,28803,62269,6738277,4503861,2199344,30773,90221,59088
Admin,23-02-2021,US,1552455,719042,828462,69140761,46532093,21945345,626812,1365127,733131
Admin,23-02-2021,LTC,90594,29291,60860,6828871,4533152,2260204,29000,87446,58087
Admin,24-02-2021,US,1887954,961473,920910,71028715,47493566,22866255,641333,1382995,736736
Admin,24-02-2021,LTC,102556,37417,64693,6931427,4570569,2324897,28563,85764,56846
Admin,25-02-2021,US,1574286,840712,730862,72603001,48334278,23597117,652984,1374240,717033
Admin,25-02-2021,LTC,105459,40901,64152,7036886,4611470,2389049,29231,85456,55871
Admin,26-02-2021,US,203179,101258,101510,72806180,48435536,23698627,561313,1158623,594008
Admin,26-02-2021,LTC,6654,877,5715,7043540,4612347,2394764,24076,70836,46454
Admin,27-02-2021,US,0,0,0,72806180,48435536,23698627,484293,994365,507272
Admin,27-02-2021,LTC,0,0,0,7043540,4612347,2394764,21368,62461,40814
